Eid,shift,age
1,night,42
2,afternoon,24
3,night,51
4,afternoon,42
5,afternoon,23
6,morning,91
7,afternoon,3
8,night,41
9,night,70
10,afternoon,49
11,night,74
12,morning,87
13,afternoon,1
14,morning,72
15,afternoon,49
16,morning,85
17,night,93
18,afternoon,67
19,afternoon,15
20,afternoon,100
21,afternoon,24
22,morning,1
23,afternoon,9
24,afternoon,6
25,night,70
26,night,57
27,night,19
28,morning,75
29,night,95
30,morning,86
31,night,73
32,morning,13
33,morning,92
34,afternoon,45
35,night,22
36,night,26
37,night,39
38,morning,14
39,night,56
40,night,11
41,afternoon,42
42,afternoon,96
43,morning,97
44,morning,27
45,morning,45
46,afternoon,5
47,morning,98
48,morning,91
49,night,61
50,morning,21
51,morning,70
52,afternoon,78
53,afternoon,15
54,morning,28
55,morning,52
56,morning,35
57,morning,37
58,afternoon,77
59,afternoon,67
60,afternoon,28
61,morning,14
62,afternoon,22
63,afternoon,87
64,afternoon,53
65,night,22
66,morning,81
67,morning,4
68,morning,50
69,afternoon,62
70,afternoon,90
71,night,74
72,morning,21
73,night,12
74,night,44
75,morning,33
76,night,66
77,night,47
78,afternoon,81
79,afternoon,13
80,afternoon,98
81,afternoon,72
82,afternoon,95
83,night,74
84,night,56
85,night,86
86,morning,51
87,afternoon,96
88,morning,37
89,afternoon,88
90,morning,51
91,afternoon,68
92,night,74
93,night,29
94,afternoon,75
95,afternoon,77
96,morning,74
97,morning,9
98,night,43
99,afternoon,4
100,afternoon,46
101,afternoon,19
102,afternoon,6
103,night,23
104,night,68
105,afternoon,31
106,morning,68
107,morning,73
108,morning,87
109,morning,56
110,night,31
111,night,16
112,morning,7
113,morning,28
114,afternoon,41
115,morning,43
116,night,64
117,morning,90
118,afternoon,81
119,night,25
120,night,33
121,afternoon,66
122,afternoon,65
123,morning,16
124,morning,79
125,night,55
126,night,91
127,afternoon,51
128,afternoon,78
129,afternoon,45
130,morning,53
131,afternoon,2
132,morning,48
133,afternoon,85
134,night,10
135,afternoon,51
136,afternoon,5
137,afternoon,90
138,night,4
139,afternoon,32
140,morning,54
141,night,19
142,afternoon,96
143,night,70
144,afternoon,7
145,afternoon,2
146,afternoon,32
147,morning,60
148,afternoon,83
149,morning,33
150,night,76
151,afternoon,38
152,afternoon,68
153,morning,51
154,night,57
155,night,84
156,night,56
157,night,73
158,night,82
159,afternoon,96
160,morning,67
161,morning,19
162,morning,71
163,night,44
164,afternoon,81
165,night,42
166,morning,59
167,afternoon,82
168,morning,70
169,afternoon,30
170,afternoon,43
171,morning,42
172,night,94
173,night,41
174,afternoon,8
175,night,39
176,night,9
177,night,74
178,afternoon,47
179,night,67
180,morning,61
181,morning,75
182,morning,90
183,morning,34
184,afternoon,98
185,night,58
186,morning,3
187,afternoon,97
188,night,93
189,morning,10
190,night,81
191,morning,52
192,night,27
193,morning,38
194,night,93
195,morning,95
196,night,63
197,afternoon,10
198,night,29
199,night,57
200,morning,1
201,night,81
202,night,72
203,morning,35
204,afternoon,47
205,night,84
206,morning,6
207,morning,19
208,morning,18
209,afternoon,35
210,morning,8
211,morning,25
212,night,66
213,night,55
214,afternoon,9
215,night,8
216,morning,61
217,afternoon,47
218,night,77
219,afternoon,94
220,afternoon,48
221,morning,54
222,night,9
223,morning,16
224,morning,38
225,afternoon,17
226,night,7
227,night,50
228,morning,47
229,morning,19
230,morning,23
231,morning,74
232,night,51
233,afternoon,92
234,afternoon,20
235,morning,22
236,morning,24
237,night,27
238,afternoon,73
239,morning,73
240,morning,63
241,morning,7
242,morning,80
243,night,78
244,night,26
245,morning,85
246,afternoon,59
247,morning,71
248,afternoon,80
249,night,82
250,night,6
251,night,60
252,morning,60
253,morning,55
254,afternoon,54
255,night,50
256,night,40
257,morning,6
258,morning,62
259,night,91
260,afternoon,5
261,afternoon,94
262,morning,58
263,afternoon,74
264,morning,33
265,night,19
266,night,52
267,afternoon,75
268,night,94
269,morning,57
270,night,11
271,night,13
272,night,3
273,morning,69
274,morning,17
275,night,52
276,morning,83
277,morning,3
278,morning,45
279,afternoon,53
280,afternoon,35
281,morning,22
282,morning,87
283,morning,98
284,night,82
285,morning,17
286,morning,65
287,afternoon,38
288,afternoon,15
289,afternoon,90
290,night,78
291,night,88
292,night,90
293,night,25
294,morning,26
295,afternoon,49
296,afternoon,96
297,afternoon,28
298,morning,27
299,night,22
300,night,3
301,morning,91
302,night,50
303,afternoon,22
304,morning,92
305,morning,12
306,morning,28
307,morning,47
308,night,35
309,morning,56
310,afternoon,69
311,morning,15
312,morning,71
313,morning,100
314,night,32
315,night,58
316,morning,2
317,afternoon,13
318,morning,44
319,morning,74
320,night,21
321,morning,9
322,night,44
323,afternoon,56
324,afternoon,3
325,night,75
326,night,14
327,morning,33
328,afternoon,12
329,afternoon,77
330,night,18
331,morning,18
332,afternoon,22
333,night,59
334,night,87
335,night,50
336,morning,95
337,night,6
338,morning,99
339,morning,26
340,night,22
341,afternoon,41
342,night,1
343,afternoon,18
344,night,37
345,morning,3
346,night,57
347,morning,38
348,afternoon,79
349,afternoon,69
350,morning,99
351,morning,13
352,afternoon,49
353,afternoon,59
354,night,51
355,morning,77
356,afternoon,28
357,morning,47
358,afternoon,30
359,afternoon,18
360,night,20
361,night,26
362,night,74
363,night,81
364,afternoon,36
365,night,73
366,night,86
367,morning,59
368,night,47
369,morning,77
370,night,47
371,morning,83
372,morning,63
373,afternoon,43
374,afternoon,80
375,morning,53
376,night,52
377,morning,7
378,afternoon,89
379,night,14
380,afternoon,53
381,night,42
382,afternoon,35
383,morning,64
384,morning,93
385,morning,6
386,night,10
387,afternoon,52
388,night,3
389,morning,27
390,night,29
391,morning,25
392,afternoon,36
393,night,5
394,night,75
395,morning,17
396,morning,53
397,afternoon,90
398,night,59
399,morning,25
400,afternoon,36
